Country,Type,Value,Year
Thailand,FPEI,19.7,2008
Thailand,FPEI,24.4,2009
Thailand,FPEI,22.9,2010
Thailand,FPEI,23.0,2011
Thailand,FPEI,23.1,2012
Total,FDEI,-,1998
Total,FDEI,-,1999
Total,FDEI,-,2000
Total,FDEI,-,2001
Total,FDEI,-,2002
Total,FDEI,-,2003
Total,FDEI,-,2004
Total,FDEI,-,2005
Total,FDEI,-,2006
Total,FDEI,-,2007
Total,FDEI,445228.7,2008
Total,FDEI,512557.8,2009
Total,FDEI,550389.8,2010
Total,FDEI,597412.0,2011
Total,FDEI,667368.8,2012
Total,FDI,144197.0,1998
Total,FDI,170821.0,1999
Total,FDI,191452.0,2000
Total,FDI,216454.0,2001
Total,FDI,229319.0,2002
Total,FDI,246185.0,2003
Total,FDI,276819.0,2004
Total,FDI,323821.0,2005
Total,FDI,370495.0,2006
Total,FDI,466567.0,2007
Total,FDI,510585.2,2008
Total,FDI,574698.9,2009
Total,FDI,626383.4,2010
Total,FDI,678908.5,2011
Total,FDI,746689.7,2012
Total,FEI,-,1998
Total,FEI,-,1999
Total,FEI,-,2000
Total,FEI,-,2001
Total,FEI,-,2002
Total,FEI,-,2003
Total,FEI,-,2004
Total,FEI,-,2005
Total,FEI,-,2006
Total,FEI,-,2007
Total,FEI,490635.6,2008
Total,FEI,563131.9,2009
Total,FEI,607372.1,2010
Total,FEI,663031.8,2011
Total,FEI,733414.9,2012
Total,FPEI,-,1998
Total,FPEI,-,1999
Total,FPEI,-,2000
Total,FPEI,-,2001
Total,FPEI,-,2002
Total,FPEI,-,2003
Total,FPEI,-,2004
Total,FPEI,-,2005
Total,FPEI,-,2006
Total,FPEI,-,2007
Total,FPEI,45406.9,2008
Total,FPEI,50574.1,2009
Total,FPEI,56982.3,2010
Total,FPEI,65619.8,2011
Total,FPEI,66046.1,2012
United Kingdom,FDEI,-,1998
United Kingdom,FDEI,-,1999
United Kingdom,FDEI,-,2000
United Kingdom,FDEI,-,2001
United Kingdom,FDEI,-,2002
United Kingdom,FDEI,-,2003
United Kingdom,FDEI,-,2004
United Kingdom,FDEI,-,2005
United Kingdom,FDEI,-,2006
United Kingdom,FDEI,-,2007
United Kingdom,FDEI,47349.6,2008
United Kingdom,FDEI,49271.9,2009
United Kingdom,FDEI,48339.2,2010
United Kingdom,FDEI,55200.8,2011
United Kingdom,FDEI,47902.9,2012
United Kingdom,FDI,17599.0,1998
United Kingdom,FDI,11863.0,1999
United Kingdom,FDI,8701.8,2000
United Kingdom,FDI,13630.0,2001
United Kingdom,FDI,31495.0,2002
United Kingdom,FDI,38092.0,2003
United Kingdom,FDI,43924.0,2004
United Kingdom,FDI,49593.0,2005
United Kingdom,FDI,55264.0,2006
United Kingdom,FDI,62527.0,2007
United Kingdom,FDI,47569.0,2008
United Kingdom,FDI,49499.4,2009
United Kingdom,FDI,48947.3,2010
United Kingdom,FDI,55654.0,2011
United Kingdom,FDI,48437.0,2012
United Kingdom,FEI,-,1998
United Kingdom,FEI,-,1999
United Kingdom,FEI,-,2000
United Kingdom,FEI,-,2001
United Kingdom,FEI,-,2002
United Kingdom,FEI,-,2003
United Kingdom,FEI,-,2004
United Kingdom,FEI,-,2005
United Kingdom,FEI,-,2006
United Kingdom,FEI,-,2007
United Kingdom,FEI,55253.3,2008
United Kingdom,FEI,58576.2,2009
United Kingdom,FEI,59178.0,2010
United Kingdom,FEI,68668.2,2011
United Kingdom,FEI,61497.7,2012
United Kingdom,FPEI,-,1998
United Kingdom,FPEI,-,1999
United Kingdom,FPEI,-,2000
United Kingdom,FPEI,-,2001
United Kingdom,FPEI,-,2002
United Kingdom,FPEI,-,2003
United Kingdom,FPEI,-,2004
United Kingdom,FPEI,-,2005
United Kingdom,FPEI,-,2006
United Kingdom,FPEI,-,2007
United Kingdom,FPEI,7903.7,2008
United Kingdom,FPEI,9304.3,2009
United Kingdom,FPEI,10838.8,2010
United Kingdom,FPEI,13467.4,2011
United Kingdom,FPEI,13594.8,2012
United States,FDEI,-,1998
United States,FDEI,-,1999
United States,FDEI,-,2000
United States,FDEI,-,2001
United States,FDEI,-,2002
United States,FDEI,-,2003
United States,FDEI,-,2004
United States,FDEI,-,2005
United States,FDEI,-,2006
United States,FDEI,-,2007
United States,FDEI,46831.6,2008
United States,FDEI,54866.1,2009
United States,FDEI,61470.5,2010
United States,FDEI,68832.9,2011
United States,FDEI,100446.5,2012
United States,FDI,22811.0,1998
United States,FDI,24791.0,1999
United States,FDI,31357.0,2000
United States,FDI,36783.0,2001
United States,FDI,34480.0,2002
United States,FDI,37163.0,2003
United States,FDI,41020.0,2004
United States,FDI,40574.0,2005
United States,FDI,38325.0,2006
United States,FDI,51551.0,2007
United States,FDI,52758.1,2008
United States,FDI,58968.8,2009
United States,FDI,67162.2,2010
United States,FDI,74666.0,2011
United States,FDI,106513.2,2012
United States,FEI,-,1998
United States,FEI,-,1999
United States,FEI,-,2000
United States,FEI,-,2001
United States,FEI,-,2002
United States,FEI,-,2003
United States,FEI,-,2004
United States,FEI,-,2005
United States,FEI,-,2006
United States,FEI,-,2007
United States,FEI,66413.7,2008
United States,FEI,77301.8,2009
United States,FEI,83742.9,2010
United States,FEI,92641.4,2011
United States,FEI,123834.4,2012
United States,FPEI,-,1998
United States,FPEI,-,1999
United States,FPEI,-,2000
United States,FPEI,-,2001
United States,FPEI,-,2002
United States,FPEI,-,2003
United States,FPEI,-,2004
United States,FPEI,-,2005
United States,FPEI,-,2006
United States,FPEI,-,2007
United States,FPEI,19582.1,2008
United States,FPEI,22435.7,2009
United States,FPEI,22272.4,2010
United States,FPEI,23808.5,2011
United States,FPEI,23387.9,2012
Vietnam,FDEI,-,1998
Vietnam,FDEI,-,1999
Vietnam,FDEI,-,2000
Vietnam,FDEI,-,2001
Vietnam,FDEI,-,2002
Vietnam,FDEI,-,2003
Vietnam,FDEI,-,2004
Vietnam,FDEI,-,2005
Vietnam,FDEI,-,2006
Vietnam,FDEI,-,2007
Vietnam,FDEI,28.9,2008
Vietnam,FDEI,28.2,2009
Vietnam,FDEI,60.3,2010
Vietnam,FDEI,60.6,2011
Vietnam,FDEI,73.7,2012
Vietnam,FDI,3.8,1998
Vietnam,FDI,6.3,1999
Vietnam,FDI,8.2,2000
Vietnam,FDI,10.8,2001
Vietnam,FDI,28.3,2002
Vietnam,FDI,24.0,2003
Vietnam,FDI,32.7,2004
Vietnam,FDI,21.1,2005
Vietnam,FDI,11.5,2006
Vietnam,FDI,26.1,2007
Vietnam,FDI,28.9,2008
Vietnam,FDI,28.2,2009
Vietnam,FDI,59.6,2010
Vietnam,FDI,60.6,2011
Vietnam,FDI,73.7,2012
Vietnam,FEI,-,1998
Vietnam,FEI,-,1999
Vietnam,FEI,-,2000
Vietnam,FEI,-,2001
Vietnam,FEI,-,2002
Vietnam,FEI,-,2003
Vietnam,FEI,-,2004
Vietnam,FEI,-,2005
Vietnam,FEI,-,2006
Vietnam,FEI,-,2007
Vietnam,FEI,28.9,2008
Vietnam,FEI,28.4,2009
Vietnam,FEI,62.5,2010
Vietnam,FEI,65.8,2011
Vietnam,FEI,76.0,2012
Vietnam,FPEI,-,1998
Vietnam,FPEI,-,1999
Vietnam,FPEI,-,2000
Vietnam,FPEI,-,2001
Vietnam,FPEI,-,2002
Vietnam,FPEI,-,2003
Vietnam,FPEI,-,2004
Vietnam,FPEI,-,2005
Vietnam,FPEI,-,2006
Vietnam,FPEI,-,2007
Vietnam,FPEI,0.0,2008
Vietnam,FPEI,0.2,2009
Vietnam,FPEI,2.2,2010
Vietnam,FPEI,5.2,2011
Vietnam,FPEI,2.3,2012
