Industry,Type,Year,Value
"Warehousing, Post & Courier Services",FDEI,2008,3248.8
"Warehousing, Post & Courier Services",FPEI,2008,82.7
"Warehousing, Post & Courier Services",FDI,2008,3763
Water Transport & Supporting Services,FEI,2008,30820.4
Water Transport & Supporting Services,FDEI,2008,30302.4
Water Transport & Supporting Services,FPEI,2008,518
Water Transport & Supporting Services,FDI,2008,32878.4
Wholesale & Retail Trade,FEI,2008,87085.4
Wholesale & Retail Trade,FDEI,2008,85784.3
Wholesale & Retail Trade,FPEI,2008,1301.1
Wholesale & Retail Trade,FDI,2008,92951.7
Wholesale Trade,FEI,2008,85076.7
Wholesale Trade,FDEI,2008,83897
Wholesale Trade,FPEI,2008,1179.7
Wholesale Trade,FDI,2008,90982.2
Accommodation & Food Service Activities,FEI,2009,3129.2
Accommodation & Food Service Activities,FDEI,2009,3079.2
Accommodation & Food Service Activities,FPEI,2009,50
Accommodation & Food Service Activities,FDI,2009,3486.7
Banks,FEI,2009,16687.8
Banks,FDEI,2009,13090
Banks,FPEI,2009,3597.8
Banks,FDI,2009,14325.3
Basic Metals,FEI,2009,507.2
Basic Metals,FDEI,2009,504.2
Basic Metals,FPEI,2009,3
Basic Metals,FDI,2009,506.3
Chemicals & Chemical Products,FEI,2009,7983.2
Chemicals & Chemical Products,FDEI,2009,7887.5
Chemicals & Chemical Products,FPEI,2009,95.7
Chemicals & Chemical Products,FDI,2009,7780.9
"Computer, Electronic and Optical Products",FEI,2009,40722.8
"Computer, Electronic and Optical Products",FDEI,2009,39825.6
"Computer, Electronic and Optical Products",FPEI,2009,897.2
"Computer, Electronic and Optical Products",FDI,2009,41786.5
Computers and Peripheral Equipment,FEI,2009,12090.6
Computers and Peripheral Equipment,FDEI,2009,12090.3
Computers and Peripheral Equipment,FPEI,2009,0.3
Computers and Peripheral Equipment,FDI,2009,12172
Construction,FEI,2009,3011.7
Construction,FDEI,2009,2948.6
Construction,FPEI,2009,63.1
Construction,FDI,2009,2754.4
Electrical Machinery & Apparatus,FEI,2009,1313.4
Electrical Machinery & Apparatus,FDEI,2009,1270.5
Electrical Machinery & Apparatus,FPEI,2009,42.9
Electrical Machinery & Apparatus,FDI,2009,1464.9
Fabricated Metal Products,FEI,2009,1363.7
Fabricated Metal Products,FDEI,2009,1349.8
Fabricated Metal Products,FPEI,2009,13.9
Fabricated Metal Products,FDI,2009,1851.6
Financial & Insurance Services,FEI,2009,253660.5
Financial & Insurance Services,FDEI,2009,211081.3
Financial & Insurance Services,FPEI,2009,42579.2
Financial & Insurance Services,FDI,2009,239149.6
Financial Services,FEI,2009,245690
Financial Services,FDEI,2009,203140.9
Financial Services,FPEI,2009,42549.1
Financial Services,FDI,2009,231190.5
"Food, Beverages & Tobacco",FEI,2009,1712.3
"Food, Beverages & Tobacco",FDEI,2009,1703.2
"Food, Beverages & Tobacco",FPEI,2009,9.1
"Food, Beverages & Tobacco",FDI,2009,1863.9
Freight Water Transport,FEI,2009,25314.2
Freight Water Transport,FDEI,2009,24855.3
Freight Water Transport,FPEI,2009,458.9
Freight Water Transport,FDI,2009,28473.4
Information & Communications,FEI,2009,6287.5
Information & Communications,FDEI,2009,5189
Information & Communications,FPEI,2009,1098.5
Information & Communications,FDI,2009,5901
"Instrumentation, Photographic & Optical Goods",FEI,2009,6126.5
"Instrumentation, Photographic & Optical Goods",FDEI,2009,6125.9
"Instrumentation, Photographic & Optical Goods",FPEI,2009,0.6
"Instrumentation, Photographic & Optical Goods",FDI,2009,6075
Insurance Services,FEI,2009,7970.5
Insurance Services,FDEI,2009,7940.4
