Industry,Type,Year,Value
Water Transport & Supporting Services,FEI,2011,28525.4
Water Transport & Supporting Services,FDEI,2011,28085.2
Water Transport & Supporting Services,FPEI,2011,440.2
Water Transport & Supporting Services,FDI,2011,30164.4
Wholesale & Retail Trade,FEI,2011,109390.7
Wholesale & Retail Trade,FDEI,2011,107767.3
Wholesale & Retail Trade,FPEI,2011,1623.4
Wholesale & Retail Trade,FDI,2011,118263.6
Wholesale Trade,FEI,2011,106870.2
Wholesale Trade,FDEI,2011,105277.3
Wholesale Trade,FPEI,2011,1592.9
Wholesale Trade,FDI,2011,115644.4
Accommodation & Food Service Activities,FEI,2012,4123.1
Accommodation & Food Service Activities,FDEI,2012,4069.2
Accommodation & Food Service Activities,FPEI,2012,53.9
Accommodation & Food Service Activities,FDI,2012,4826.8
Banks,FEI,2012,20672.2
Banks,FDEI,2012,15909.2
Banks,FPEI,2012,4763
Banks,FDI,2012,17042.4
Basic Metals,FEI,2012,527
Basic Metals,FDEI,2012,524.5
Basic Metals,FPEI,2012,2.5
Basic Metals,FDI,2012,524.6
Chemicals & Chemical Products,FEI,2012,9467.1
Chemicals & Chemical Products,FDEI,2012,9357.7
Chemicals & Chemical Products,FPEI,2012,109.4
Chemicals & Chemical Products,FDI,2012,9686.1
"Computer, Electronic and Optical Products",FEI,2012,38576.2
"Computer, Electronic and Optical Products",FDEI,2012,37995.6
"Computer, Electronic and Optical Products",FPEI,2012,580.6
"Computer, Electronic and Optical Products",FDI,2012,41177.2
Computers and Peripheral Equipment,FEI,2012,12674.4
Computers and Peripheral Equipment,FDEI,2012,12674.4
Computers and Peripheral Equipment,FPEI,2012,0
Computers and Peripheral Equipment,FDI,2012,12221.7
Construction,FEI,2012,3050.7
Construction,FDEI,2012,2971.3
Construction,FPEI,2012,79.4
Construction,FDI,2012,2625.7
Electrical Machinery & Apparatus,FEI,2012,1156.8
Electrical Machinery & Apparatus,FDEI,2012,1154.8
Electrical Machinery & Apparatus,FPEI,2012,2
Electrical Machinery & Apparatus,FDI,2012,1280.9
Fabricated Metal Products,FEI,2012,2430.8
Fabricated Metal Products,FDEI,2012,2414.9
Fabricated Metal Products,FPEI,2012,15.9
Fabricated Metal Products,FDI,2012,2495
Financial & Insurance Services,FEI,2012,372933
Financial & Insurance Services,FDEI,2012,315368.4
Financial & Insurance Services,FPEI,2012,57564.6
Financial & Insurance Services,FDI,2012,359576.4
Financial Services,FEI,2012,362226.2
Financial Services,FDEI,2012,304683.3
Financial Services,FPEI,2012,57542.9
Financial Services,FDI,2012,348753.7
"Food, Beverages & Tobacco",FEI,2012,3446.3
"Food, Beverages & Tobacco",FDEI,2012,3445.4
"Food, Beverages & Tobacco",FPEI,2012,0.9
"Food, Beverages & Tobacco",FDI,2012,3454.1
Freight Water Transport,FEI,2012,22717.7
Freight Water Transport,FDEI,2012,22447.2
Freight Water Transport,FPEI,2012,270.5
Freight Water Transport,FDI,2012,23957.1
Information & Communications,FEI,2012,8554.5
Information & Communications,FDEI,2012,7444.3
Information & Communications,FPEI,2012,1110.2
Information & Communications,FDI,2012,7699.9
"Instrumentation, Photographic & Optical Goods",FEI,2012,5854.1
"Instrumentation, Photographic & Optical Goods",FDEI,2012,5853.6
"Instrumentation, Photographic & Optical Goods",FPEI,2012,0.5
"Instrumentation, Photographic & Optical Goods",FDI,2012,5849.1
Insurance Services,FEI,2012,10706.8
Insurance Services,FDEI,2012,10685.1
Insurance Services,FPEI,2012,21.7
Insurance Services,FDI,2012,10822.8
Investment Holding Companies,FEI,2012,316659.3
Investment Holding Companies,FDEI,2012,266350.5
Investment Holding Companies,FPEI,2012,50308.8
Investment Holding Companies,FDI,2012,305565.6
Land & Air Transport & Supporting Services,FEI,2012,257.8
Land & Air Transport & Supporting Services,FDEI,2012,-116.4
Land & Air Transport & Supporting Services,FPEI,2012,374.2
Land & Air Transport & Supporting Services,FDI,2012,-117.4
Machinery & Equipment,FEI,2012,9126.6
Machinery & Equipment,FDEI,2012,9006.3
Machinery & Equipment,FPEI,2012,120.3
Machinery & Equipment,FDI,2012,9947.2
Manufacturing,FEI,2012,112678.4
Manufacturing,FDEI,2012,111476.8
Manufacturing,FPEI,2012,1201.6
Manufacturing,FDI,2012,128515.2
Other Electronics nec,FEI,2012,6088.4
Other Electronics nec,FDEI,2012,5575
Other Electronics nec,FPEI,2012,513.4
Other Electronics nec,FDI,2012,6227.4
Other Financial Services,FEI,2012,24894.7
Other Financial Services,FDEI,2012,22423.6
Other Financial Services,FPEI,2012,2471.1
Other Financial Services,FDI,2012,26145.7
Other Water Transport nec,FEI,2012,6848.5
Other Water Transport nec,FDEI,2012,6829
Other Water Transport nec,FPEI,2012,19.5
Other Water Transport nec,FDI,2012,7477
Others,FEI,2012,12092.9
Others,FDEI,2012,11977.3
Others,FPEI,2012,115.6
Others,FDI,2012,12248.3
"Paper, Paper Products & Printing",FEI,2012,1496.3
"Paper, Paper Products & Printing",FDEI,2012,1335.9
"Paper, Paper Products & Printing",FPEI,2012,160.4
"Paper, Paper Products & Printing",FDI,2012,1364.2
Pharmaceutical Products,FEI,2012,27670.1
Pharmaceutical Products,FDEI,2012,27670.1
Pharmaceutical Products,FPEI,2012,-
Pharmaceutical Products,FDI,2012,28544.4
"Professional,  Scientific & Technical, Administrative & Support Services",FEI,2012,35501.4
"Professional,  Scientific & Technical, Administrative & Support Services",FDEI,2012,34650.6
"Professional,  Scientific & Technical, Administrative & Support Services",FPEI,2012,850.8
"Professional,  Scientific & Technical, Administrative & Support Services",FDI,2012,39574.5
Real Estate Activities,FEI,2012,25083.6
Real Estate Activities,FDEI,2012,22437.5
Real Estate Activities,FPEI,2012,2646.1
Real Estate Activities,FDI,2012,27090.7
Refined Petroleum Products,FEI,2012,9578.1
Refined Petroleum Products,FDEI,2012,9563.8
Refined Petroleum Products,FPEI,2012,14.3
Refined Petroleum Products,FDI,2012,20745.4
Retail Trade,FEI,2012,2945.4
Retail Trade,FDEI,2012,2912.9
Retail Trade,FPEI,2012,32.5
Retail Trade,FDI,2012,3036.1
Rubber & Plastic Products,FEI,2012,1157.7
Rubber & Plastic Products,FDEI,2012,1062.4
Rubber & Plastic Products,FPEI,2012,95.3
Rubber & Plastic Products,FDI,2012,1083.6
Semiconductor Devices,FEI,2012,13959.4
Semiconductor Devices,FDEI,2012,13892.6
Semiconductor Devices,FPEI,2012,66.8
Semiconductor Devices,FDI,2012,16878.9
Total,FEI,2012,733414.9
Total,FDEI,2012,667368.8
Total,FPEI,2012,66046.1
Total,FDI,2012,746689.7
Transport & Storage,FEI,2012,36166
Transport & Storage,FDEI,2012,35443.8
Transport & Storage,FPEI,2012,722.2
Transport & Storage,FDI,2012,37711.1
Transport Equipment,FEI,2012,5478.8
Transport Equipment,FDEI,2012,5385.8
Transport Equipment,FPEI,2012,93
Transport Equipment,FDI,2012,5322.7
"Warehousing, Post & Courier Services",FEI,2012,6342
"Warehousing, Post & Courier Services",FDEI,2012,6284
"Warehousing, Post & Courier Services",FPEI,2012,58
"Warehousing, Post & Courier Services",FDI,2012,6394.4
Water Transport & Supporting Services,FEI,2012,29566.2
Water Transport & Supporting Services,FDEI,2012,29276.2
Water Transport & Supporting Services,FPEI,2012,290
Water Transport & Supporting Services,FDI,2012,31434.1
Wholesale & Retail Trade,FEI,2012,123231.4
Wholesale & Retail Trade,FDEI,2012,121529.6
Wholesale & Retail Trade,FPEI,2012,1701.8
Wholesale & Retail Trade,FDI,2012,126821.1
Wholesale Trade,FEI,2012,120286.1
Wholesale Trade,FDEI,2012,118616.8
Wholesale Trade,FPEI,2012,1669.3
Wholesale Trade,FDI,2012,123785
